2025-01-17 00:18:57 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-01-17 00:18:58 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-01-17 00:18:58 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 999 ms
2025-01-17 00:18:58 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.4.Final
2025-01-17 00:18:58 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-01-17 00:18:58 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-01-17 00:18:58 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-01-17 00:18:58 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3f2ae973
2025-01-17 00:18:58 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-01-17 00:18:58 [main] INFO  o.hibernate.orm.connections.pooling - HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 8.0
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2025-01-17 00:18:59 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-01-17 00:18:59 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-01-17 00:19:00 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-01-17 00:19:00 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2025-01-17 00:19:00 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8088 (http) with context path '/'
2025-01-17 00:19:00 [main] INFO  i.d.c.ConcertReservationSystemApplication - Started ConcertReservationSystemApplication in 3.558 seconds (process running for 4.114)
2025-01-17 00:20:00 [MyScheduler-2] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-b814b9cd-29a9-4722-9e37-4ff80a8179ef] | <<--------------------------------------------------------------------------
2025-01-17 00:20:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-7482c6a0-9f56-4cd3-bc6a-b0e81f4ee874] | <<--------------------------------------------------------------------------
2025-01-17 00:20:00 [MyScheduler-3] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-8e1d30be-9a5b-412d-9373-13d600465027] | <<--------------------------------------------------------------------------
2025-01-17 00:20:00 [MyScheduler-2] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-b814b9cd-29a9-4722-9e37-4ff80a8179ef] | SEAT_SCHEDULER | START TIME : 2025-01-17T00:20:00.008008500
2025-01-17 00:20:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-7482c6a0-9f56-4cd3-bc6a-b0e81f4ee874] | EXPIRE_TOKEN_SCHEDULER | START TIME : 2025-01-17T00:20:00.008008500
2025-01-17 00:20:00 [MyScheduler-3] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-8e1d30be-9a5b-412d-9373-13d600465027] | ACTIVE_TOKEN_SCHEDULER | START TIME : 2025-01-17T00:20:00.008008500
2025-01-17 00:20:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-7482c6a0-9f56-4cd3-bc6a-b0e81f4ee874] | schedule processed in 68 ms : 2025-01-17T00:20:00.076919500
2025-01-17 00:20:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-7482c6a0-9f56-4cd3-bc6a-b0e81f4ee874] | END TIME : 2025-01-17T00:20:00.076919500
2025-01-17 00:20:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-7482c6a0-9f56-4cd3-bc6a-b0e81f4ee874] | -------------------------------------------------------------------------->>
2025-01-17 00:20:00 [MyScheduler-3] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-8e1d30be-9a5b-412d-9373-13d600465027] | schedule processed in 69 ms : 2025-01-17T00:20:00.077919500
2025-01-17 00:20:00 [MyScheduler-2] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-b814b9cd-29a9-4722-9e37-4ff80a8179ef] | schedule processed in 69 ms : 2025-01-17T00:20:00.077919500
2025-01-17 00:20:00 [MyScheduler-3] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-8e1d30be-9a5b-412d-9373-13d600465027] | END TIME : 2025-01-17T00:20:00.077919500
2025-01-17 00:20:00 [MyScheduler-3] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-8e1d30be-9a5b-412d-9373-13d600465027] | -------------------------------------------------------------------------->>
2025-01-17 00:20:00 [MyScheduler-2] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-b814b9cd-29a9-4722-9e37-4ff80a8179ef] | END TIME : 2025-01-17T00:20:00.077919500
2025-01-17 00:20:00 [MyScheduler-2] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-b814b9cd-29a9-4722-9e37-4ff80a8179ef] | -------------------------------------------------------------------------->>
2025-01-17 00:21:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-d77ab14f-818b-400c-b8dd-943aea4dc3f5] | <<--------------------------------------------------------------------------
2025-01-17 00:21:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-d77ab14f-818b-400c-b8dd-943aea4dc3f5] | EXPIRE_TOKEN_SCHEDULER | START TIME : 2025-01-17T00:21:00.013293300
2025-01-17 00:21:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-d77ab14f-818b-400c-b8dd-943aea4dc3f5] | schedule processed in 2 ms : 2025-01-17T00:21:00.015997300
2025-01-17 00:21:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-d77ab14f-818b-400c-b8dd-943aea4dc3f5] | END TIME : 2025-01-17T00:21:00.015997300
2025-01-17 00:21:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-d77ab14f-818b-400c-b8dd-943aea4dc3f5] | -------------------------------------------------------------------------->>
2025-01-17 00:22:00 [MyScheduler-2] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-17ef1dee-cdef-4ff2-824b-5edc92d8422e] | <<--------------------------------------------------------------------------
2025-01-17 00:22:00 [MyScheduler-4] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-45bef655-f4e1-4368-815a-a94f66a7e353] | <<--------------------------------------------------------------------------
2025-01-17 00:22:00 [MyScheduler-2] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-17ef1dee-cdef-4ff2-824b-5edc92d8422e] | EXPIRE_TOKEN_SCHEDULER | START TIME : 2025-01-17T00:22:00.011243500
2025-01-17 00:22:00 [MyScheduler-4] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-45bef655-f4e1-4368-815a-a94f66a7e353] | ACTIVE_TOKEN_SCHEDULER | START TIME : 2025-01-17T00:22:00.011243500
2025-01-17 00:22:00 [MyScheduler-2] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-17ef1dee-cdef-4ff2-824b-5edc92d8422e] | schedule processed in 3 ms : 2025-01-17T00:22:00.014244700
2025-01-17 00:22:00 [MyScheduler-2] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-17ef1dee-cdef-4ff2-824b-5edc92d8422e] | END TIME : 2025-01-17T00:22:00.014244700
2025-01-17 00:22:00 [MyScheduler-2] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-17ef1dee-cdef-4ff2-824b-5edc92d8422e] | -------------------------------------------------------------------------->>
2025-01-17 00:22:00 [MyScheduler-4] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-45bef655-f4e1-4368-815a-a94f66a7e353] | schedule processed in 3 ms : 2025-01-17T00:22:00.014244700
2025-01-17 00:22:00 [MyScheduler-4] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-45bef655-f4e1-4368-815a-a94f66a7e353] | END TIME : 2025-01-17T00:22:00.014244700
2025-01-17 00:22:00 [MyScheduler-4] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-45bef655-f4e1-4368-815a-a94f66a7e353] | -------------------------------------------------------------------------->>
2025-01-17 00:22:01 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-01-17 00:22:01 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-01-17 00:22:01 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-01-17 00:22:01 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-01-17 00:22:01 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-01-17 00:22:05 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-01-17 00:22:05 [main] INFO  i.d.c.ConcertReservationSystemApplication - Starting ConcertReservationSystemApplication using Java 21.0.5 with PID 26024 (D:\IntelliJDev\concert-reservation-system\build\classes\java\main started by USER in D:\IntelliJDev\concert-reservation-system)
2025-01-17 00:22:05 [main] INFO  i.d.c.ConcertReservationSystemApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-17 00:22:05 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-01-17 00:22:05 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2025-01-17 00:22:05 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface io.dev.concertreservationsystem.infrastructure.concert_basic.ConcertBasicJPARepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-01-17 00:22:05 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface io.dev.concertreservationsystem.infrastructure.concert_detail.ConcertDetailJPARepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-01-17 00:22:05 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface io.dev.concertreservationsystem.infrastructure.payment.PaymentJPARepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-01-17 00:22:05 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface io.dev.concertreservationsystem.infrastructure.point_history.PointHistoryJPARepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-01-17 00:22:05 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface io.dev.concertreservationsystem.infrastructure.reservation.ReservationJPARepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-01-17 00:22:05 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface io.dev.concertreservationsystem.infrastructure.seat.SeatJPARepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-01-17 00:22:05 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface io.dev.concertreservationsystem.infrastructure.token.TokenJPARepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-01-17 00:22:05 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface io.dev.concertreservationsystem.infrastructure.user.UserJPARepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2025-01-17 00:22:05 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 0 JDBC repository interfaces.
2025-01-17 00:22:05 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-01-17 00:22:05 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-17 00:22:05 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 34 ms. Found 8 JPA repository interfaces.
2025-01-17 00:22:06 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8088 (http)
2025-01-17 00:22:06 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2025-01-17 00:22:06 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-01-17 00:22:06 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-01-17 00:22:06 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-01-17 00:22:06 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1017 ms
2025-01-17 00:22:06 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.4.Final
2025-01-17 00:22:06 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-01-17 00:22:06 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-01-17 00:22:06 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-01-17 00:22:06 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4e671ef
2025-01-17 00:22:06 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-01-17 00:22:06 [main] INFO  o.hibernate.orm.connections.pooling - HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 8.0
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2025-01-17 00:22:07 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-01-17 00:22:07 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-01-17 00:22:08 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-01-17 00:22:08 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2025-01-17 00:22:08 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8088 (http) with context path '/'
2025-01-17 00:22:08 [main] INFO  i.d.c.ConcertReservationSystemApplication - Started ConcertReservationSystemApplication in 3.611 seconds (process running for 4.235)
2025-01-17 00:23:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-1728069a-57e0-4ce5-b387-9cbcb517dd49] | <<--------------------------------------------------------------------------
2025-01-17 00:23:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-1728069a-57e0-4ce5-b387-9cbcb517dd49] | EXPIRE_TOKEN_SCHEDULER | START TIME : 2025-01-17T00:23:00.011583700
2025-01-17 00:23:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-1728069a-57e0-4ce5-b387-9cbcb517dd49] | schedule processed in 124 ms : 2025-01-17T00:23:00.135223400
2025-01-17 00:23:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-1728069a-57e0-4ce5-b387-9cbcb517dd49] | END TIME : 2025-01-17T00:23:00.135223400
2025-01-17 00:23:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-1728069a-57e0-4ce5-b387-9cbcb517dd49] | -------------------------------------------------------------------------->>
2025-01-17 00:24:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-d606cb0e-0a0b-4beb-8146-3f90d9271a95] | <<--------------------------------------------------------------------------
2025-01-17 00:24:00 [MyScheduler-3] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-56378e1a-6d54-45c0-8f69-3d69265806e6] | <<--------------------------------------------------------------------------
2025-01-17 00:24:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-d606cb0e-0a0b-4beb-8146-3f90d9271a95] | EXPIRE_TOKEN_SCHEDULER | START TIME : 2025-01-17T00:24:00.004424600
2025-01-17 00:24:00 [MyScheduler-2] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-29f756a1-8cf3-46d6-b876-e4b3c6326414] | <<--------------------------------------------------------------------------
2025-01-17 00:24:00 [MyScheduler-3] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-56378e1a-6d54-45c0-8f69-3d69265806e6] | ACTIVE_TOKEN_SCHEDULER | START TIME : 2025-01-17T00:24:00.004424600
2025-01-17 00:24:00 [MyScheduler-2] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-29f756a1-8cf3-46d6-b876-e4b3c6326414] | SEAT_SCHEDULER | START TIME : 2025-01-17T00:24:00.004424600
2025-01-17 00:24:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-d606cb0e-0a0b-4beb-8146-3f90d9271a95] | schedule processed in 3 ms : 2025-01-17T00:24:00.007017900
2025-01-17 00:24:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-d606cb0e-0a0b-4beb-8146-3f90d9271a95] | END TIME : 2025-01-17T00:24:00.007017900
2025-01-17 00:24:00 [MyScheduler-1] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-d606cb0e-0a0b-4beb-8146-3f90d9271a95] | -------------------------------------------------------------------------->>
2025-01-17 00:24:00 [MyScheduler-2] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-29f756a1-8cf3-46d6-b876-e4b3c6326414] | schedule processed in 12 ms : 2025-01-17T00:24:00.016027600
2025-01-17 00:24:00 [MyScheduler-2] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-29f756a1-8cf3-46d6-b876-e4b3c6326414] | END TIME : 2025-01-17T00:24:00.016027600
2025-01-17 00:24:00 [MyScheduler-2] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-29f756a1-8cf3-46d6-b876-e4b3c6326414] | -------------------------------------------------------------------------->>
2025-01-17 00:24:00 [MyScheduler-3] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-56378e1a-6d54-45c0-8f69-3d69265806e6] | schedule processed in 28 ms : 2025-01-17T00:24:00.032040500
2025-01-17 00:24:00 [MyScheduler-3] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-56378e1a-6d54-45c0-8f69-3d69265806e6] | END TIME : 2025-01-17T00:24:00.032040500
2025-01-17 00:24:00 [MyScheduler-3] INFO  i.d.c.i.c.s.DataStatusScheduler - UUID - [SCHEDULER-56378e1a-6d54-45c0-8f69-3d69265806e6] | -------------------------------------------------------------------------->>
